"п.3, повыш",,,,,,,,,,,,,,
"I, мА",0,3.37,3.72,4.01,4.47,4.76,5.25,5.47,5.78,6.28,6.48,,,
"U, В",< след,91.25,93.25,94.93,97.53,99.15,102.05,103.33,105.12,107.15,108.37,,,
,,,,,,,,,,,,,,
"п.3, пониж",,,,,,,,,,,,,,
"I, мА",6.48,6.26,5.92,5.52,5.34,4.87,4.64,3.8,3.5,3.22,2.76,2.26,1.41,0
"U, В",108.37,106.48,105.1,103.02,102.05,99.25,98.05,93.55,92.02,90.25,87.67,84.97,80.52,75.4
,,,,,,,,,,,,,,
п.6,U = 109.5 В,,,,,,,,,,,,,
,,,,,,,,,,,,,,
п.8,tзар = 60 мс,tраз = 5мс,,,,,,,,,,,,
,,,,,,,,,,,,,,
п.9,Rкр = 1.4 * 10^5 Ом,,Обратно убедились.,,,,,,,,,,,
,,,,,,,,,,,,,,
п.10,16 Гц,1 пересечение,,,,,,,,,,,,
п.11,8 Гц,2 пересечение,,,,,,,,,,,,
,55,3 пересечение,,,,,,,,,,,,
,,,,,,,,,,,,,,
,32 Гц,17:08 вторая,,,,,,,,,,,,
,48 Гц,17:08 новая,,,,,,,,,,,,
,,,,,,,,,,,,,,
п.12,R = 5.2 * 10^5 Ом,,,,,,,,,,,,,
нет пересеч:,,,,,,,,,,,,,,
"f, Гц",150,75,50,37,30,,,,,,,,,
"С, мкФ",0.01,0.02,0.03,0.04,0.05,,,,,,,,,
,,,,,,,,,,,,,,
п.13,С = 0.05 мкФ,,,,,,,,,,,,,
нет пересеч:,,,,,,,,,,,,,,
"f, Гц",17,19,22,25.7,31,39.5,53,78.2,,,,,,
"R, 10^5 Ом",9,8,7,6,5,4,3,2,,,,,,
